,Date,Open,High,Low,Close,Adj Close,Volumn
993,2018-04-10,244.50,249.00,243.50,245.50,211.19,"25,156,994"
992,2018-04-11,246.50,248.50,246.50,248.00,213.34,"21,607,935"
991,2018-04-12,248.50,248.50,244.00,245.00,210.76,"20,409,657"
990,2018-04-13,246.00,246.00,244.00,244.50,210.33,"19,742,548"
989,2018-04-16,243.00,244.00,242.00,243.50,209.47,"18,350,139"
988,2018-04-17,243.00,243.50,237.50,238.00,204.74,"42,756,389"
987,2018-04-18,239.50,241.50,236.50,238.00,204.74,"42,500,048"
986,2018-04-19,242.00,244.50,241.00,244.50,210.33,"31,901,989"
985,2018-04-20,228.00,231.50,228.00,229.00,197.00,"128,452,087"
984,2018-04-23,226.50,227.50,225.00,226.50,194.85,"71,009,975"
983,2018-04-24,225.00,227.50,225.00,227.00,195.28,"40,967,892"
982,2018-04-25,225.50,226.00,224.00,225.00,193.56,"46,771,110"
981,2018-04-26,225.00,225.50,221.00,222.00,190.98,"48,023,557"
980,2018-04-27,225.00,225.50,221.00,223.50,192.27,"34,174,459"
979,2018-04-30,224.50,228.00,222.50,227.00,195.28,"28,500,789"
